local	gen	bloco	np	bact	antfo	antva	manfo	manva	rend	mmg	def	dem
IT2ES	BRS Estilo	2	80	NA	1	NA	5	2	2467,2	227,2	38	89
IT2ES	BRS Estilo	3	79	NA	1	NA	6	3	1910,7	199,7	38	91
IT2ES	BRS Estilo	4	77	NA	1	NA	4	3	1884,3	200,2	38	101
UR2ES	BRS Estilo	1	79	1	1	1	4	4	2038,16	NA	41	94
UR2ES	BRS Estilo	2	75	1	1	1	5	4	2634,07	NA	41	94
UR2ES	BRS Estilo	3	73	1	1	1	6	5	2608,95	NA	41	94
UR2ES	BRS Estilo	4	70	1	1	1	5	4	1935,54	NA	41	94
XA2ES	BRS Estilo	1	81	2	4	8	5	4	2404,35823754789	NA	NA	NA
XA2ES	BRS Estilo	2	78	3	3	1	3	1	2877,59259259259	NA	NA	NA
XA2ES	BRS Estilo	3	102	3	4	1	3	1	2949,55300127714	NA	NA	NA
XA2ES	BRS Estilo	4	95	3	3	1	4	1	2280,06385696041	NA	NA	NA
CH1ES	BRS Notável	1	86	1	1	1	1	1	3785,72158365262	269,379310344828	36	95
CH1ES	BRS Notável	2	100	1	1	1	1	1	4387,47126436782	261,268965517241	36	95
CH1ES	BRS Notável	3	69	1	1	1	1	1	3682,49042145594	265,535632183908	36	95
CH1ES	BRS Notável	4	92	1	1	1	1	1	2945,98978288633	251,420689655172	36	95
PS1ES	BRS Notável	1	87	5	1	2	2	6	3512,07	244,84	NA	NA
PS1ES	BRS Notável	2	100	2	2	4	5	5	4293,48	251,13	NA	NA
PS1ES	BRS Notável	3	82	4	7	9	4	7	5586,42	265,31	NA	NA
PS1ES	BRS Notável	4	80	2	2	2	7	6	3105,88	247,13	NA	NA
CA1ES	BRS Notável	1	78	1	1	5	1	1	2612,5	257,48275862069	41	98
CA1ES	BRS Notável	2	71	4	1	7	3	1	3220,34482758621	255,675862068965	41	98
CA1ES	BRS Notável	3	75	3	1	5	5	1	2751,99233716475	271,374712643678	41	98
CA1ES	BRS Notável	4	73	2	1	1	4	2	3669,67432950192	278,434482758621	41	98
CN1ES	BRS Notável	1	67	NA	NA	NA	NA	NA	3880,58748403576	272,772413793103	36	84
CN1ES	BRS Notável	2	85	NA	NA	NA	NA	NA	2801,68582375479	233,011494252874	36	84
CN1ES	BRS Notável	3	78	NA	NA	NA	NA	NA	3741,26436781609	274,565517241379	36	84
CN1ES	BRS Notável	4	59	NA	NA	NA	NA	NA	2950,88122605364	261,016091954023	36	84
CH2ES	BRS Notável	1	99	4	1	1	4	3	3141,43678160919	237,268965517241	32	82
