"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"143",1,1,12,209,234.8,125.2,0,0,1,7519.4683908046
"144",1,1,12,296,224,125,0,0,0,6893.79310344828
"145",1,2,13,261,269,142,0,0,1,7366.79597701149
"146",1,2,13,300,263,149,0,0,3,8150.86206896552
"147",1,2,13,222,253,145,0,0,0,8056.55172413793
"148",1,2,13,206,260,144,1,0,1,8642.97413793103
"149",1,2,13,225,270,147,0,1,1,9403.23275862069
"150",1,2,13,214,262,143,0,0,0,6364.26724137931
"151",1,2,13,305,266,142,0,1,3,7811.32183908046
"152",1,2,13,311,260,145,0,0,1,7950.86206896552
"153",1,2,13,322,258,142,1,0,1,6933.11781609195
"154",1,2,13,284,256,143,0,1,2,8343.75
"155",1,2,13,291,251,139,0,0,3,8226.13505747126
"156",1,2,13,208,266,145,0,0,2,8149.65517241379
"157",1,2,14,318,254,135,1,0,1,7443.33333333333
"158",1,2,14,269,273,154,1,0,1,7624.13793103448
"159",1,2,14,280,252,154,1,0,0,7597.35632183908
"160",1,2,14,302,261,160,2,0,0,6986.49425287356
"161",1,2,14,283,281,166,1,0,0,6769.65517241379
"162",1,2,14,248,277,152,1,0,1,8037.3275862069
"163",1,2,14,221,275,156,0,0,0,7293.14655172414
"164",1,2,14,310,262,146,7,0,1,6720
"165",1,2,14,209,271,148,1,1,0,7643.90804597701
"166",1,2,14,223,285,157,2,0,3,8172.24137931034
"167",1,2,14,240,283,155,0,0,1,9460.63218390805
"168",1,2,14,234,294,166,0,0,0,8116.37931034483
"169",1,2,15,326,280,154,1,0,3,7433.90804597701
"170",1,2,15,231,287,159,0,0,2,7240.37356321839
"171",1,2,15,344,276,157,1,0,5,6564.74137931034
"172",1,2,15,260,279,163,0,0,2,6061.20689655173
"173",1,2,15,213,289,165,0,1,3,8108.44827586207
"174",1,2,15,282,279,157,0,0,5,6195
"175",1,2,15,270,279,149.2,0,0,0,8442.71551724138
"176",1,2,15,272,275,154.6,2,0,0,6133.90804597701
"177",1,2,15,257,257,154,0,0,1,8066.46551724138
"178",1,2,15,331,264,149,0,0,3,8171.36494252874
"179",1,2,15,239,282,163,0,0,1,7275.1724137931
"180",1,2,15,301,283,164,1,0,1,7895.11494252873
"181",1,2,16,266,273,162,0,1,2,8349.78448275862
"182",1,2,16,271,286,161,0,0,1,8103.20402298851
"183",1,2,16,303,260,152,1,0,2,5059.31034482759
"184",1,2,16,249,288,153,1,0,2,7339.77011494253
"185",1,2,16,337,288,169,0,0,0,9251.06321839081
"186",1,2,16,321,259,156,0,0,2,7639.39655172414
"187",1,2,16,316,269,149,1,0,1,6705.31609195402
"188",1,2,16,276,284,158,0,1,1,7096.03448275862
"189",1,2,16,233,277,152,0,0,3,8038.33333333333
"190",1,2,16,236,250,136,0,0,4,6790
"191",1,2,16,341,293,159,0,0,2,9855
"192",1,2,16,204,275,148,0,0,0,8026.03448275862
"193",1,2,17,335,285,165,0,1,0,8291.89655172414
"194",1,2,17,217,275,156,0,1,8,7293.14655172414
"195",1,2,17,242,272,156,1,1,4,7884.42528735632
"196",1,2,17,320,280,163,1,0,3,7203.04597701149
"197",1,2,17,314,276,156,0,0,4,6550.57471264368
"198",1,2,17,333,254,146,1,0,0,6129.79885057471
"199",1,2,17,273,270,155,0,0,1,8323.96551724138
"200",1,2,17,244,278,153,0,1,1,8136.20689655173
"201",1,2,17,289,269,152,1,0,1,5676.4367816092
"202",1,2,17,328,257,147,0,0,2,7251.14942528736
"203",1,2,17,220,287,153,0,0,1,6228.79310344828
"204",1,2,17,309,289,152,0,0,1,7082.75862068965
"205",1,2,18,262,287,155,0,0,1,4901.37931034483
"206",1,2,18,255,269,146,0,0,0,7417.28448275862
"207",1,2,18,287,265,149,0,0,3,4904.02298850575
"208",1,2,18,308,274,143,0,0,2,5933.96551724138
"209",1,2,18,286,267,146,1,1,0,7110.77586206897
"210",1,2,18,235,282,159,1,0,0,7785.1724137931
"211",1,2,18,304,288,162,0,0,0,7386.23563218391
"212",1,2,18,218,271,150,2,0,2,7090.34482758621
"213",1,2,18,281,263,156,0,0,1,7531.03448275862
"214",1,2,18,241,262,152,1,0,3,6971.40804597701
"215",1,2,18,251,267,149,0,0,1,6701.81034482759
"216",1,2,18,275,271.6,155.8,2,0,2,8968.2183908046
"217",1,2,19,256,276,149,1,0,2,8371.72413793103
"218",1,2,19,306,280,158.8,1,0,5,6971.4224137931
"219",1,2,19,298,272.2,148.8,1,0,0,6013.06034482759
"220",1,2,19,268,285,167,0,0,0,8515.86206896552
"221",1,2,19,253,259.6,141.6,0,0,4,5576.66666666667
"222",1,2,19,290,245.4,150.6,0,0,1,6095.66091954023
"223",1,2,19,325,259.2,144.6,0,0,3,6925.31609195402
"224",1,2,19,334,266.2,147,1,0,3,5999.65517241379
"225",1,2,19,246,273,145.2,2,0,4,5193.79310344828
"226",1,2,19,265,257.4,147.4,0,1,2,7907.67241379311
"227",1,2,19,215,273.4,155.2,0,0,1,7808.53448275862
"228",1,2,19,319,274,146,2,0,0,7468.2183908046
"229",1,2,20,224,267.2,141.2,1,1,0,6031.55172413793
"230",1,2,20,327,266,149,0,0,0,5325.28735632184
"231",1,2,20,315,262.6,139.8,0,0,3,7003.30459770115
"232",1,2,20,342,258,140.6,1,0,3,5711.89655172414
"233",1,2,20,263,253,140,1,0,1,5104.68390804598
"234",1,2,20,227,264.2,143.2,1,1,0,8048.79310344828
"235",1,2,20,258,242.2,147.4,1,1,1,5772.41379310345
"236",1,2,20,203,279,158.4,1,0,3,5795.68965517241
"237",1,2,20,243,259,146,0,0,1,6627.72988505747
"238",1,2,20,254,272,152,1,0,2,7670.43103448276
"239",1,2,20,294,284.2,159.8,0,0,1,7245.68965517241
"240",1,2,20,210,281,160,1,0,1,6703.20402298851
"241",1,2,21,295,269,152.8,0,0,1,8007.58620689655
"242",1,2,21,297,274.8,160,2,1,0,9281.25
"243",1,2,21,340,282.4,157.8,0,0,1,6838.3908045977
"244",1,2,21,259,255,151.2,0,0,0,6693.50574712644
"245",1,2,21,299,264,147,0,0,2,3963.63505747127
"246",1,2,21,264,282.2,152.6,1,0,0,6004.05172413793
"247",1,2,21,323,258.6,150.2,0,0,2,7628.2183908046
"248",1,2,21,267,278,151,0,0,0,6349.78448275862
"249",1,2,21,296,256,139,0,0,0,4080.01436781609
"250",1,2,21,293,246.8,140.6,0,0,0,6496.09195402299
"251",1,2,21,216,256.6,146.4,1,0,0,6103.44827586207
"252",1,2,21,329,265.2,147.6,1,0,1,6208.90804597701
"253",1,2,22,202,254,138,1,0,1,7090.37356321839
"254",1,2,22,317,266.4,153.8,2,0,0,5018.27586206897
"255",1,2,22,336,249,145,0,0,0,7282.52873563218
"256",1,2,22,277,261.4,146.8,2,0,0,5062.62931034483
"257",1,2,22,250,254.8,150,0,0,0,5934.33908045977
"258",1,2,22,238,266.6,152.6,1,0,2,7235.1724137931
"259",1,2,22,278,271.4,147.4,1,0,0,7383.90804597701
"260",1,2,22,252,265,149,2,0,3,6143.44827586207
"261",1,2,22,201,268.6,149.8,1,0,0,6066.66666666667
"262",1,2,22,279,285.8,162,1,0,0,6993.13218390805
"263",1,2,22,211,275.8,163.4,0,0,2,5345.11494252874
"264",1,2,22,274,272,139,1,1,0,4030.80459770115
"265",1,2,23,232,257.2,156.2,0,1,0,6086.63793103448
"266",1,2,23,207,270.2,149.4,0,0,1,7003.27586206897
"267",1,2,23,307,266,145.2,0,0,0,5287.35632183908
"268",1,2,23,219,264.2,141,0,0,0,5891.19252873563
"269",1,2,23,226,270,146,1,1,1,6296.12068965517
"270",1,2,23,338,254.6,150,1,1,0,4787.11206896552
"271",1,2,23,212,274.2,153.2,0,1,0,6810.08620689655
"272",1,2,23,339,251,143,0,0,0,4216.37931034483
"273",1,2,23,230,283.6,155.2,0,0,2,7023.44827586207
"274",1,2,23,237,268.8,148.6,2,0,1,7418.52011494253
"275",1,2,23,229,266,161,3,0,0,5128.87931034483
"276",1,2,23,324,281,154,0,0,0,7553.44827586207
"277",1,2,24,228,272,142.8,0,0,1,6375.73275862069
"278",1,2,24,245,261.6,141.6,1,0,0,5429.74137931034
